Rank,Model,Powertrain Type,New Retail Registration
1,Toyota Prius,Hybrid,31090
2,Chrevrolet Bolt,Electric,13487
3,Testla Model S,Electric,11813
4,Chrevrolet Volt,Plug in Hybrid,11117
5,Toyota Prius,Plug in Hybrid,9645
6,Toyota RAV4,Hybrid,8380
7,Ford Fusion,Hybrid,7989
8,Tesla Model X,Electric,6910
9,Toyota Camry,Hybrid,5506
10,Kia Niro,Hybrid,5165
11,Ford Fusion,Plug in Hybrid,5093
12,Fiat 500,Electric,4943
13,Honda Accord,Hybrid,4937
14,Nissan Leaf,Electric,4418
15,Toyota Highlander,Hybrid,3700
16,Volkswagen Golf,Electric,3202
17,Lexus Ct200H,Hybrid,3183
18,Ford C-Max,Plug in Hybrid,3183
19,BMW I3,Plug in Hybrid,2865
20,Lexus RX,Hybrid,2827
