Rank,Best-Selling Vehicle,2016,2015
1,Ford F-Series,820799,780354
2,Chevrolet Silverado,574876,600544
3,Ram P/U,489418,450122
4,Toyota Camry,388618,429355
5,Toyota Corolla,378210,368431
6,Honda Civic,366927,335384
7,Honda CR-V,357335,345647
8,Toyota RAV4,352154,315412
9,Honda Accord,345225,355557
10,Nissan Rogue,329904,287190
11,Nissan Altima,307380,333398
12,Ford Escape,307069,306492
13,Ford Fusion,265840,300170
14,Ford Explorer,248507,249251
15,Chevrolet Equinox,242195,277589
16,Chevrolet Malibu,227881,194854
17,GMC Sierra,221680,224139
18,Nissan Sentra,214709,203509
19,Jeep Grand Cherokee,212273,196312
20,Hyundai Elantra,208319,241706
